Advertisina,Advertising
Boundarv,Boundary
Buildina,Building
Camort,Carport
CarportNerandah,Carport/Verandah
Disolav,Display
Existina,Existing
Existino,Existing
Existinq,Existing
Dwellina,Dwelling
Dwellinas,Dwellings
Dwellino,Dwelling
Dwellinq,Dwelling
Horne,Home
Includinq,Including
Leucoxvlon,Leucoxylon
lnstall,Install
Outbuildinos,Outbuildings
Reoulated,Regulated
Retainino,Retaining
Safetv,Safety
Storev,Storey
Svstem,System
Swimmina,Swimming
Swimmino,Swimming
Tenancv,Tenancy
Verandan,Verandah
veranoan,Verandah
